name,utc,mjd,ra,dec,dm,flux,width,snr,z_est
FRB20190208,2019-01-06 13:01:06.324523,58489.54243431161,8.509890976681103,49.41044113611203,273.0321975509148,6.931924405618938,10.31770490744023,41.54011133182753,0.227526831292429
FRB20190072,2019-01-07 01:07:16.456830,58490.04671825035,349.1683365986174,20.704236118103072,917.3293321629792,2.9212672179321433,7.8662798850509255,41.27327965394394,0.764441110135816
FRB20190128,2019-01-08 14:42:07.165295,58491.61258293165,223.01652456346122,61.39007358991313,939.6413326589965,78.84497155192943,9.539989706629523,85.48182324032653,0.7830344438824971
FRB20190205,2019-01-11 01:41:54.659346,58494.0707715202,310.6069479155623,47.401512585369034,423.6764763013745,0.3,2.980925481386846,62.35969660035053,0.35306373025114546
FRB20190407,2019-01-12 20:48:48.531248,58495.867228370924,113.54648246928458,22.716605930049823,392.12994973215257,3.576852082010311,9.383628922888983,55.576134064978696,0.32677495811012713
FRB20190456,2019-01-13 10:22:25.624156,58496.432241020324,231.80553127480704,44.45999177084599,416.19290682086336,11.11723429058991,2.603494331782105,99.86759420587784,0.34682742235071945
FRB20190470,2019-01-14 07:25:10.541454,58497.30914978535,334.1101105173779,71.51083932064716,590.2582283125196,1.548174536101494,1.9092863454301123,63.84152669723242,0.4918818569270996
FRB20190332,2019-01-16 18:15:39.172284,58499.760870049584,347.6959780151592,65.01059878188028,543.9799490400992,1.2794370793191299,2.4568880281087138,89.18458960397751,0.4533166242000827
FRB20190563,2019-01-16 22:14:01.729507,58499.926408906336,202.13445166542854,41.29005498702221,603.2267624630159,4.98639825545234,3.9014525392498207,69.2504021044138,0.5026889687191799
FRB20190244,2019-01-17 22:11:59.576563,58500.92499509911,191.8648031584807,66.63248634572422,608.2210714242306,0.6186241004113289,1.2485164864330125,32.78842905993626,0.5068508928535255
FRB20190171,2019-01-19 03:55:41.319207,58502.16367267601,189.05881812014167,40.798117824238666,527.1852016672758,10.342410207971078,1.88206672668175,92.62091660370814,0.4393210013893965
FRB20190371,2019-01-20 22:52:10.481242,58503.95289908845,149.08671091041373,76.16092058811861,428.1126429656008,2.4739343128956555,4.309262557253526,32.735262138068606,0.3567605358046673
FRB20190010,2019-01-23 12:57:37.836337,58506.5400212539,129.32401298391565,47.97809510556506,718.5240861416368,1.7361991077435412,3.5662417540562226,40.80342074827376,0.5987700717846973
FRB20190377,2019-01-26 11:35:11.296095,58509.482769630726,173.2838945887165,33.464264963284435,1266.2603195011616,3.323962245880149,2.638364992215242,97.13095153315801,1.0552169329176346
FRB20190237,2019-01-27 15:01:24.952147,58510.62598324244,186.86152472697734,70.86793646055646,679.7738673123312,1.0558778026958016,10.198995882960329,42.609523126805236,0.5664782227602759
FRB20190312,2019-01-28 18:13:03.133050,58511.75906403993,124.59590155360279,49.37020717105469,273.66527776981,3.793269082454164,3.5036658033520642,56.76481520753904,0.22805439814150835
FRB20190098,2019-01-28 20:00:52.743005,58511.833943784775,351.7827063196742,71.02007710987652,1169.1821416300324,2.369195246368732,1.2892853902407309,98.76439315169804,0.9743184513583604
FRB20190515,2019-01-29 20:55:26.723236,58512.87183707449,274.0037533355369,24.246048161875134,509.3649836108186,2.2464270886068824,2.6257536496380003,69.56218230920626,0.4244708196756822
FRB20190356,2019-01-30 00:43:02.067722,58513.029885043085,249.17808300988747,46.636310405095536,1005.4509517118125,0.3,4.989721239723868,22.43504142144305,0.8378757930931772
FRB20190557,2019-02-01 12:24:31.440652,58515.5170305631,33.476630336327574,53.55679288446319,615.7018880554897,3.7479956390778093,4.047628246241567,82.32049356804926,0.5130849067129081
FRB20190290,2019-02-03 09:32:47.646234,58517.39777368326,142.91334614674204,59.31786236844422,603.4696342463074,1.114669059669914,7.89608521465132,69.97210454369595,0.5028913618719227
FRB20190100,2019-02-04 09:57:32.399451,58518.41495832698,313.4712421214133,56.07684791735364,471.23140362593625,3.8664081677054836,4.500959710525565,21.08068662763635,0.3926928363549469
FRB20190042,2019-02-07 15:43:49.205669,58521.65543062118,74.10283561323656,31.329569222123784,334.43754398335693,7.5324477570293356,2.2313963496802494,42.61585829839882,0.2786979533194641
FRB20190285,2019-02-09 08:33:46.639362,58523.35678980743,129.64910668974687,68.25866117032635,322.9749072066296,2.6970581006378147,11.292492798450454,92.71091816651894,0.26914575600552465
FRB20190145,2019-02-10 09:23:20.315318,58524.39120735322,6.563729763490187,56.79140887480734,342.5993594458437,1.6378497060577446,2.4966152207077617,79.10128767523831,0.2854994662048697
FRB20190291,2019-02-10 21:30:37.441186,58524.89626668039,160.99291458174085,36.93661136323762,475.24493241453223,11.112688936121774,11.361412524930794,13.97073371753367,0.39603744367877686
FRB20190335,2019-02-14 14:21:10.529793,58528.59803853927,182.21107062248788,20.102703196712156,329.44615909274825,5.648474508245015,1.0523486855255024,13.498129224411366,0.27453846591062353
FRB20190168,2019-02-14 15:34:14.592213,58528.64878000246,65.21376583248491,83.87644093655061,781.8391493060283,0.8022969472584007,2.4571422516754464,67.86664335870964,0.6515326244216902
FRB20190599,2019-02-14 18:01:38.047739,58528.75113481179,130.40475899482382,54.692127784830326,622.7909396134748,14.028107607313318,0.8250591235547584,21.982176787612712,0.5189924496778957
FRB20190472,2019-02-17 06:14:32.949820,58531.260103585875,133.9801285815048,39.93940674911141,446.17619613694677,1.1334081147275152,4.852432754251205,82.05694871711505,0.37181349678078895
FRB20190514,2019-02-19 12:20:47.941406,58533.514443766275,229.0648874325293,49.27715688840182,340.6512530508539,6.676932473410048,1.2239632623026693,15.96901799863185,0.2838760442090449
FRB20190058,2019-02-19 12:34:23.349248,58533.52388135704,1.7783931363874617,45.69893515640462,809.0459186065382,3.607437641102152,4.41149249946543,35.60617162730047,0.6742049321721152
FRB20190347,2019-02-19 14:35:21.756514,58533.60789070039,358.15187418111617,40.71119489208727,264.26645105520254,1.09463061794761,2.428878143342372,43.47083013723358,0.2202220425460021
FRB20190486,2019-02-19 18:19:51.151345,58533.7637864739,330.8135521102396,26.9545208239239,283.2268267230246,1.335749803606985,6.474616116931346,73.59731485128016,0.2360223556025205
FRB20190334,2019-02-20 08:56:57.956394,58534.372893013824,112.25380791069344,48.73701719374435,222.04638259034067,5.324694819649705,3.949184066162594,88.3492228414123,0.18503865215861723
FRB20190029,2019-02-20 20:43:00.646614,58534.863201928405,89.53713813154677,53.662345445610015,332.54525731446324,0.3853118240947037,8.22740066071555,26.23406755079347,0.2771210477620527
FRB20190148,2019-02-26 08:51:41.698259,58540.369232618745,233.09089709565708,65.65290656190189,554.5279028775184,6.608505766649829,8.399628161850153,41.72270923888881,0.46210658573126534
FRB20190300,2019-02-26 14:11:44.276320,58540.59148467964,41.89190323877139,32.91082000102503,500.1293369179131,1.6383365018349634,5.982354239567383,84.37866535981011,0.41677444743159425
FRB20190458,2019-03-03 15:39:00.305707,58545.65208687161,15.102440435389056,54.488906306793595,297.12605827519644,1.0194279718922181,2.040703119328021,84.84245353461564,0.24760504856266372
